title,year,duration,genre,rating,synopsis,directors,stars
Black Panther: Wakanda Forever,2022,161,"Action, Adventure, Drama",6.9,The people of Wakanda fight to protect their home from intervening world powers as they mourn the death of King T'Challa.,Ryan Coogler,"Letitia Wright,Lupita Nyong'o,Danai Gurira,Winston Duke"
Babylon,2022,189,"Comedy, Drama, History",7.4,"A tale of outsized ambition and outrageous excess, it traces the rise and fall of multiple characters during an era of unbridled decadence and depravity in early Hollywood.",Damien Chazelle,"Brad Pitt,Margot Robbie,Jean Smart,Olivia Wilde"
1923,2022,60,"Drama, Western",8.6,"The Duttons face a new set of challenges in the early 20th century, including the rise of Western expansion, Prohibition and the Great Depression.","Harrison Ford,Helen Mirren,Brandon Sklenar,Julia Schlaepfer",
Avatar: The Way of Water,2022,192,"Action, Adventure, Fantasy",7.8,"Jake Sully lives with his newfound family formed on the extrasolar moon Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the army of the Na'vi race to protect their home.",James Cameron,"Sam Worthington,Zoe Saldana,Sigourney Weaver,Stephen Lang"
The Menu,2022,107,"Horror, Thriller",7.2,"A young couple travels to a remote island to eat at an exclusive restaurant where the chef has prepared a lavish menu, with some shocking surprises.",Mark Mylod,"Ralph Fiennes,Anya Taylor-Joy,Nicholas Hoult,Hong Chau"
The Banshees of Inisherin,2022,114,"Comedy, Drama",7.8,"Two lifelong friends find themselves at an impasse when one abruptly ends their relationship, with alarming consequences for both of them.",Martin McDonagh,"Colin Farrell,Brendan Gleeson,Kerry Condon,Pat Shortt"
Everything Everywhere All at Once,2022,139,"Action, Adventure, Comedy",8.0,A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led.,"Dan Kwan,Daniel Scheinert","Michelle Yeoh,Stephanie Hsu,Jamie Lee Curtis,Ke Huy Quan"
Wednesday,2022,45,"Comedy, Crime, Fantasy",8.2,"Follows Wednesday Addams' years as a student, when she attempts to master her emerging psychic ability, thwart a killing spree, and solve the mystery that embroiled her parents.","Jenna Ortega,Hunter Doohan,Percy Hynes White,Emma Myers",
Puss in Boots: The Last Wish,2022,102,"Animation, Adventure, Comedy",7.9,"When Puss in Boots discovers that his passion for adventure has taken its toll and he has burned through eight of his nine lives, he launches an epic journey to restore them by finding the mythical Last Wish.","Joel Crawford,Januel Mercado","Antonio Banderas,Salma Hayek,Harvey Guillén,Florence Pugh"
M3GAN,2022,102,"Horror, Sci-Fi, Thriller",6.4,A robotics engineer at a toy company builds a life-like doll that begins to take on a life of its own.,Gerard Johnstone,"Allison Williams,Violet McGraw,Ronny Chieng,Amie Donald"
The Whale,2022,117,Drama,8.0,"A reclusive, morbidly obese English teacher attempts to reconnect with his estranged teenage daughter.",Darren Aronofsky,"Brendan Fraser,Sadie Sink,Ty Simpkins,Hong Chau"
Shotgun Wedding,2022,100,"Action, Comedy, Romance",5.5,Darcy and Tom gather their families for the ultimate destination wedding but when the entire wedding party is taken hostage the bride and groom must save their loved ones--if they don't kill each other first.,Jason Moore,"Jennifer Lopez,Josh Duhamel,Lenny Kravitz,Jennifer Coolidge"
The Legend of Vox Machina,2022,30,"Animation, Action, Adventure",8.4,"After saving the realm from evil and destruction at the hands of the most terrifying power couple in Exandria, Vox Machina is faced with saving the world once again-this time, from a sinister group of dragons known as the Chroma Conclave.","Laura Bailey,Taliesin Jaffe,Ashley Johnson,Matthew Mercer",
Tár,2022,158,"Drama, Music",7.6,"Set in the international world of Western classical music, the film centers on Lydia Tár, widely considered one of the greatest living composer-conductors and the very first female director of a major German orchestra.",Todd Field,"Cate Blanchett,Noémie Merlant,Nina Hoss,Sophie Kauer"
Triangle of Sadness,2022,147,"Comedy, Drama",7.5,A fashion model celebrity couple join an eventful cruise for the super-rich.,Ruben Östlund,"Thobias Thorwid,Harris Dickinson,Charlbi Dean,Jiannis Moustos"
The Fabelmans,2022,151,Drama,7.7,"Growing up in post-World War II era Arizona, young Sammy Fabelman aspires to become a filmmaker as he reaches adolescence, but soon discovers a shattering family secret and explores how the power of films can help him see the truth.",Steven Spielberg,"Michelle Williams,Gabriel LaBelle,Paul Dano,Judd Hirsch"
Bullet Train,2022,127,"Action, Comedy, Thriller",7.3,Five assassins aboard a swiftly-moving bullet train find out that their missions have something in common.,David Leitch,"Brad Pitt,Joey King,Aaron Taylor-Johnson,Brian Tyree Henry"
Glass Onion,2022,139,"Comedy, Crime, Drama",7.2,Famed Southern detective Benoit Blanc travels to Greece for his latest case.,Rian Johnson,"Daniel Craig,Edward Norton,Kate Hudson,Dave Bautista"
Viking Wolf,2022,97,"Horror, Thriller",5.2,"Thale (17) has just moved with her parents to a small town after her mother has a new job in the local police. After a student is killed brutally at a party Thale attends, she becomes a key witness. Was the killer an animal? A wolf?",Stig Svendsen,"Liv Mjönes,Elli Rhiannon Müller Osborne,Arthur Hakalahti,Sjur Vatne Brean"
All Quiet on the Western Front,2022,148,"Action, Drama, War",7.8,A young German soldier's terrifying experiences and distress on the western front during World War I.,Edward Berger,"Felix Kammerer,Albrecht Schuch,Aaron Hilmer,Moritz Klaus"
Top Gun: Maverick,2022,130,"Action, Drama",8.3,"After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it.",Joseph Kosinski,"Tom Cruise,Jennifer Connelly,Miles Teller,Val Kilmer"
